repo	sha	parents	author_date	commit_date	author	subject	decorations	merge
REPO-01	42264188fb3ad3069045b840fb7b625e894b4038	bd21fb8aa933859baefcba7908a0594b994bd35a	2026-05-31T01:00:22-04:00	2026-05-31T01:00:22-04:00	ntoledo319	fix(review): wire journal 988 detection, order crisis signals, fix data export		-
REPO-01	d1ce0576ac0415010eecab44b56cea9db03ebae0	42264188fb3ad3069045b840fb7b625e894b4038	2026-05-31T01:03:22-04:00	2026-05-31T01:03:22-04:00	ntoledo319	fix(review): align Windows MSIX naming/version, attach .app to release, honest window actions		-
REPO-01	66e152e9c3b53734efcf1b8e488f854f71772f46	d1ce0576ac0415010eecab44b56cea9db03ebae0	2026-05-31T01:06:31-04:00	2026-05-31T01:06:31-04:00	ntoledo319	fix(review): vendor Chart.js for offline reports; honest Focus-mode messages		-
REPO-01	fc839ac84918de4e487d8665832083fbd92ad052	66e152e9c3b53734efcf1b8e488f854f71772f46	2026-05-31T01:09:28-04:00	2026-05-31T01:09:28-04:00	ntoledo319	test: end silent-skip theater — hard first-party imports across the suite		-
REPO-01	ac4c5c16ddd07469d8daa0e8286ef0857bc90d80	fc839ac84918de4e487d8665832083fbd92ad052	2026-05-31T01:12:12-04:00	2026-05-31T01:12:12-04:00	ntoledo319	test+polish: cover orchestrator briefing/vault rotation; safer reset; honest placeholders		-
REPO-01	b54de907eae402d338e5f503eced72430bae423f	ac4c5c16ddd07469d8daa0e8286ef0857bc90d80	2026-05-31T01:13:25-04:00	2026-05-31T01:13:25-04:00	ntoledo319	docs: add honest v1.1.0 status to tech-debt register		-
REPO-01	f61bea1558f72a62f4d21c48bf0879266f316222	b54de907eae402d338e5f503eced72430bae423f	2026-05-31T01:19:16-04:00	2026-05-31T01:19:16-04:00	ntoledo319	fix: update check works in frozen builds via certifi CA bundle		-
REPO-01	63b33b79053abec04a1ffba457568bc5624af24a	f61bea1558f72a62f4d21c48bf0879266f316222	2026-05-31T01:25:51-04:00	2026-05-31T01:25:51-04:00	ntoledo319	test: convert integration-test guards to hard imports (final de-theater)		-
REPO-01	0c21f41aee44c9441ab203b88a993552be1babd9	63b33b79053abec04a1ffba457568bc5624af24a	2026-05-31T01:27:03-04:00	2026-05-31T01:27:03-04:00	ntoledo319	docs: add v1.1.0 release report (state, verification, publish gate)		-
REPO-01	b4943046229c1c662058253ff749df610bf58c9d	dc4aa0eb881e76f3e6932a1ecb037ad88da7bb95	2026-05-31T01:47:42-04:00	2026-05-31T01:47:42-04:00	ntoledo319	style: apply ruff format across the codebase		-
REPO-01	dc4aa0eb881e76f3e6932a1ecb037ad88da7bb95	0c21f41aee44c9441ab203b88a993552be1babd9	2026-05-31T01:47:42-04:00	2026-05-31T01:47:42-04:00	ntoledo319	ci: align test matrix with supported Python versions (3.11-3.13)		-
REPO-01	4c6d6240f0f4fcff3f908c871bfea88e2fb47a65	b4943046229c1c662058253ff749df610bf58c9d	2026-06-04T02:07:49-04:00	2026-06-04T02:07:49-04:00	ntoledo319	index on release/v1.1.0-prep: b494304 style: apply ruff format across the codebase		-
REPO-01	53d2df974643408989600b2c4a93438ff56e0a7d		2026-06-04T02:07:49-04:00	2026-06-04T02:07:49-04:00	ntoledo319	untracked files on release/v1.1.0-prep: b494304 style: apply ruff format across the codebase		-
REPO-01	8565e66bed995c06e22342b3c1afa36da1a59b68	b4943046229c1c662058253ff749df610bf58c9d 4c6d6240f0f4fcff3f908c871bfea88e2fb47a65 53d2df974643408989600b2c4a93438ff56e0a7d	2026-06-04T02:07:49-04:00	2026-06-04T02:07:49-04:00	ntoledo319	On release/v1.1.0-prep: wip: stopped ci-greenify partial work (tests.yml apt fix + win db-handle WIP)	refs/stash	merge
REPO-01	f726dd727e7df48a88b2571436eb875d8d152111	b4943046229c1c662058253ff749df610bf58c9d	2026-06-04T02:11:17-04:00	2026-06-04T02:11:17-04:00	ntoledo319	tooling: add UI screen renderer for design review		-
REPO-01	f223deecbe15f510598b94f73cd3ebea7d977a58	f726dd727e7df48a88b2571436eb875d8d152111	2026-06-04T02:28:11-04:00	2026-06-04T02:28:11-04:00	ntoledo319	design: deep UI/UX dossier — vision, design system, 9 forensic audits		-
REPO-01	fc2dd89dd3980d2671218902753561cccb7cf4fb	f223deecbe15f510598b94f73cd3ebea7d977a58	2026-06-04T02:45:16-04:00	2026-06-04T02:45:16-04:00	ntoledo319	design(ui): build the signature Hearth components — Hearthlight, BreathOrb, state controls, surfaces		-
REPO-01	72035035191e68c8273bb3d70be04556a0d09ce6	fc2dd89dd3980d2671218902753561cccb7cf4fb	2026-06-04T03:04:39-04:00	2026-06-04T03:04:39-04:00	ntoledo319	ux(wave0): life-safety, correctness & theme-integrity fixes across the current app		-
REPO-01	4e749b230e5f2dd19e90e03fd362e7c674f4d399	72035035191e68c8273bb3d70be04556a0d09ce6	2026-06-04T03:13:51-04:00	2026-06-04T03:13:51-04:00	ntoledo319	ux(today): the State Engine + HearthToday — the room composes to the person		-
REPO-01	741c3ec14d4f1321578f82ca70da2ce66290435a	4e749b230e5f2dd19e90e03fd362e7c674f4d399	2026-06-04T03:24:44-04:00	2026-06-04T03:24:44-04:00	ntoledo319	ux(wave2): rebuild the daily check-in and Breathe with the new components		-
REPO-01	c37dea3d6806492a9a23aebeb57ce19071cdab48	741c3ec14d4f1321578f82ca70da2ce66290435a	2026-06-04T03:37:08-04:00	2026-06-04T03:37:08-04:00	ntoledo319	ux(wave4): crisis becomes 'Stay'; panic becomes a now/later refuge		-
REPO-01	2701534f5e20679f7d1e1ee4baeb14c521d0ff0d	c37dea3d6806492a9a23aebeb57ce19071cdab48	2026-06-08T04:33:47-04:00	2026-06-08T04:33:47-04:00	ntoledo319	baseline: commit in-progress UX wave 0-4 refactor before agent hardening pass		-
REPO-01	31cfe7cbf5dec7889993bc3196a7c015c37eabd8	2701534f5e20679f7d1e1ee4baeb14c521d0ff0d	2026-06-08T05:08:27-04:00	2026-06-08T05:08:27-04:00	ntoledo319	wave1: focus session widget, security hardening, build fixes, GUI tests, voice journal, community insights, PDF export, auto-updater		-
REPO-01	0e7ff6dc556cdd11438554afbd03d5bbbfc7ff32	31cfe7cbf5dec7889993bc3196a7c015c37eabd8	2026-06-08T05:44:06-04:00	2026-06-08T05:44:06-04:00	ntoledo319	wave2: GUI tests expanded (29 total), widget integration, pricing updated, smoke test, ruff/mypy fixes, QFontDatabase crash fix		-
REPO-01	ba3035af5472ae48aab0621b7c4d4e1716b23fc1	0e7ff6dc556cdd11438554afbd03d5bbbfc7ff32	2026-06-08T06:15:50-04:00	2026-06-08T06:15:50-04:00	ntoledo319	wave3: expanded GUI tests (56 total), repo cleanup, docs polish, pricing justification, mypy fix, build verification		-
REPO-01	4f6638b72abbf69d827a21c5c395dbededa40e0b	ba3035af5472ae48aab0621b7c4d4e1716b23fc1	2026-06-08T06:18:08-04:00	2026-06-08T06:18:08-04:00	ntoledo319	final: ruff cleanup, all tests green, market-ready v1.1.0		-
REPO-01	81c280b7aae7efc49136ac9b6045c70da347cef5	4f6638b72abbf69d827a21c5c395dbededa40e0b	2026-06-08T06:32:07-04:00	2026-06-08T06:32:07-04:00	ntoledo319	wave4: app launch verified, PyInstaller build fixed, 22 integration tests, 2 production PDF bugs fixed		-
REPO-01	d7cfeaa75146056e16d805627ee4c8f80765ff61	81c280b7aae7efc49136ac9b6045c70da347cef5	2026-06-08T06:32:48-04:00	2026-06-08T06:32:48-04:00	ntoledo319	final lint: integration test import cleanup, ruff clean		-
REPO-01	4ed8fd88ebff99d0961118fa6ba98e7e6bc6504c	d7cfeaa75146056e16d805627ee4c8f80765ff61	2026-06-08T06:50:08-04:00	2026-06-08T06:50:08-04:00	ntoledo319	fix: db init singleton pattern reverted to instance-level, themes test updated for dynamic fonts, coverage db cleaned		-
REPO-01	6e2666e03873956ac5eb54ae119f735c2b71ddd4	4ed8fd88ebff99d0961118fa6ba98e7e6bc6504c	2026-06-08T07:00:48-04:00	2026-06-08T07:00:48-04:00	ntoledo319	wave5: settings-theme integration tests, medication & ERP GUI tests, build rebuilt and verified, ruff clean		-
REPO-01	889b9d8a3721e764731b54b3f429a5f55b6e1e51	6e2666e03873956ac5eb54ae119f735c2b71ddd4	2026-06-08T07:10:59-04:00	2026-06-08T07:10:59-04:00	ntoledo319	wave6: HearthToday landing page tests (18), file organization integration tests (10), final verification, 60% coverage		-
REPO-01	7f62f54d8aa994d1c24737cddf8fbef8adc366bc	889b9d8a3721e764731b54b3f429a5f55b6e1e51	2026-06-11T00:42:07-04:00	2026-06-11T00:42:07-04:00	ntoledo319	WIP: commit all changes		-
REPO-01	cbbc0285fde9034a7bdbd010f22d29bc38eafede	7f62f54d8aa994d1c24737cddf8fbef8adc366bc e9c6a078d905c23ca8b4964e25fafbe5bf742947	2026-06-11T01:32:02-04:00	2026-06-11T01:32:02-04:00	ntoledo319	Merge pull request #6 from ntoledo319/production-overhaul	tag: v1.0.0	merge
REPO-01	03a149e61048c33dc898700a2191329c472e812c	7f62f54d8aa994d1c24737cddf8fbef8adc366bc	2026-06-11T05:04:04+00:00	2026-06-11T05:04:04+00:00	Hearth Overhaul Agent	Rebuild Hearth as a production Electron + React + TypeScript app		-
REPO-01	dadd8114779abcec2799797f625474ba20978747	03a149e61048c33dc898700a2191329c472e812c	2026-06-11T05:07:07+00:00	2026-06-11T05:07:07+00:00	Hearth Overhaul Agent	Generate packaging icons with pure-JS jimp instead of ImageMagick		-
REPO-01	77c6592a3e7c70292120277f1410f84670aa1c83	dadd8114779abcec2799797f625474ba20978747	2026-06-11T05:16:55+00:00	2026-06-11T05:16:55+00:00	Hearth Overhaul Agent	Swap in refreshed brand mark and painterly hero illustration		-
REPO-01	480902808a442bc449ce79e92b2e2f1e54afb8ae	77c6592a3e7c70292120277f1410f84670aa1c83	2026-06-11T05:19:57+00:00	2026-06-11T05:19:57+00:00	Hearth Overhaul Agent	Retry macOS DMG packaging on transient hdiutil detach failure		-
REPO-01	e9c6a078d905c23ca8b4964e25fafbe5bf742947	480902808a442bc449ce79e92b2e2f1e54afb8ae	2026-06-11T05:25:07+00:00	2026-06-11T05:25:07+00:00	Hearth Overhaul Agent	Ship macOS build as zip, drop fragile DMG target		-
REPO-01	2101d4cd8eaca91308740ceb5e91843a7419ca0a	cbbc0285fde9034a7bdbd010f22d29bc38eafede	2026-06-11T18:27:30-04:00	2026-06-11T18:27:30-04:00	ntoledo319	Add Windows Store (MSIX) build support		-
REPO-01	9f105d871aa40b55906194847fa3c29d836ec023	2101d4cd8eaca91308740ceb5e91843a7419ca0a	2026-06-12T03:34:23+00:00	2026-06-12T03:34:23+00:00	Hearth Overhaul Agent	Add Microsoft Store publishing automation		-
REPO-01	8658ccefff3c6d1532e48c8effa99f6347da012e	9f105d871aa40b55906194847fa3c29d836ec023	2026-06-12T04:16:52+00:00	2026-06-12T04:16:52+00:00	Hearth Overhaul Agent	Fill Microsoft Store identity with reserved Partner Center values		-
REPO-01	bbd841ea23ba2b50013841963643bf4f7efa9079	8658ccefff3c6d1532e48c8effa99f6347da012e	2026-06-12T08:14:52+00:00	2026-06-12T08:14:52+00:00	Hearth Overhaul Agent	Add gated screenshot tooling for Store listing images		-
REPO-01	e90c9109396bdfe5c509593a1dc84ecbbb0af3e9	bbd841ea23ba2b50013841963643bf4f7efa9079	2026-06-12T14:55:43+00:00	2026-06-12T14:55:43+00:00	Hearth Overhaul Agent	Fix appx locate step and screenshot hero/timestamp bugs		-
REPO-01	16046db6da8aa8ac52a136f02772502b34cb0620	e90c9109396bdfe5c509593a1dc84ecbbb0af3e9	2026-06-12T14:58:53+00:00	2026-06-12T14:58:53+00:00	Hearth Overhaul Agent	Make appx locate step robust to missing release/ dir		-
REPO-01	7244b889edc2f4f35cbd63e732e1ffd383859147	16046db6da8aa8ac52a136f02772502b34cb0620	2026-06-12T15:01:45+00:00	2026-06-12T15:01:45+00:00	Hearth Overhaul Agent	Install msstore-cli from GitHub release reliably		-
REPO-01	cca9f25b03fbc3b13aa08dbebf2560c51142a932	7244b889edc2f4f35cbd63e732e1ffd383859147	2026-06-12T15:54:35+00:00	2026-06-12T15:54:35+00:00	Hearth Overhaul Agent	Rename electron-builder config so it is actually loaded		-
REPO-01	c2b1fc28a4ddedb3c8b234f66860642eff44fae4	cca9f25b03fbc3b13aa08dbebf2560c51142a932	2026-06-13T01:27:05-04:00	2026-06-13T01:27:05-04:00	ntoledo319	Build the acting layer: dim-when-drained, focus hold, tray presence		-
REPO-01	bf591b4270bc8e85b03963a8cd8746cf3a70d4dd	c2b1fc28a4ddedb3c8b234f66860642eff44fae4	2026-07-02T15:43:57-04:00	2026-07-02T15:43:57-04:00	ntoledo319	feat: Add Hearth Supporter lifetime license gate		-
REPO-01	43fb690fabbb3c36b7ceda6c0ce5e99fe3d6524c	bf591b4270bc8e85b03963a8cd8746cf3a70d4dd	2026-07-02T15:48:18-04:00	2026-07-02T15:48:18-04:00	ntoledo319	feat: Adjust copy for Founding Supporter urgency mechanic		-
REPO-01	ef01a0749e4fe96fc80a2dbf8154062e31837f6c	43fb690fabbb3c36b7ceda6c0ce5e99fe3d6524c	2026-07-02T17:58:01-04:00	2026-07-02T17:58:01-04:00	ntoledo319	feat: Pivot monetization to B2B Pro License (Evidence-based k floor)		-
REPO-01	9a3562a0c92fdfe689c464b9283128b62a7383d0	ef01a0749e4fe96fc80a2dbf8154062e31837f6c	2026-07-02T18:15:14-04:00	2026-07-02T18:15:14-04:00	ntoledo319	feat: Add 5 comprehensive multi-stream monetization systems		-
REPO-01	f9dafb91b309cb5fa4dd82d38ba75efdbce3ac5c	c2b1fc28a4ddedb3c8b234f66860642eff44fae4	2026-07-14T01:38:58-04:00	2026-07-14T01:38:58-04:00	ntoledo319	feat: harden Hearth and establish the revenue operating loop		-
REPO-01	6fb4d884933cab41cae65f6bbaf4e0fb624dfb9d	f9dafb91b309cb5fa4dd82d38ba75efdbce3ac5c	2026-07-14T01:41:18-04:00	2026-07-14T01:41:18-04:00	ntoledo319	ci: record Cycle 0 evidence and build the MSIX review artifact		-
REPO-01	09ec37eff4affcc1a0878205072a75f0cac13da5	6fb4d884933cab41cae65f6bbaf4e0fb624dfb9d	2026-07-14T01:46:00-04:00	2026-07-14T01:46:00-04:00	ntoledo319	docs: close Cycle 0 with verified MSIX evidence	origin/feature/revenue-cycle-0	-
REPO-01	5f04d7aca37c43cb7545f203e40de5123d7c1de1	9a3562a0c92fdfe689c464b9283128b62a7383d0	2026-07-14T01:46:28-04:00	2026-07-14T01:46:28-04:00	ntoledo319	feat: harden Hearth and establish revenue Cycle 0		-
REPO-01	1408b5ec3e65fdffac77ee7875278f6f55ea1c4b	5f04d7aca37c43cb7545f203e40de5123d7c1de1	2026-07-14T04:08:12-04:00	2026-07-14T04:08:12-04:00	ntoledo319	Harden Hearth for Microsoft Store release		-
REPO-01	fbc7ac2810d00f1ef2b130483a10c0ffebd63fa8	c2b1fc28a4ddedb3c8b234f66860642eff44fae4	2026-07-14T04:13:15-04:00	2026-07-14T04:13:15-04:00	ntoledo319	Harden Hearth for Microsoft Store release		-
REPO-01	a81b1e0c738538c8ee6d9b4774fea83d0eadddc4	fbc7ac2810d00f1ef2b130483a10c0ffebd63fa8	2026-07-14T04:13:57-04:00	2026-07-14T04:13:57-04:00	ntoledo319	Run exact-tree release verification		-
REPO-01	225d693d83f9acf4a0a9990a8215bfb0c4542f52	1408b5ec3e65fdffac77ee7875278f6f55ea1c4b	2026-07-14T04:15:07-04:00	2026-07-14T04:15:07-04:00	ntoledo319	Allow manual quality gate dispatch		-
REPO-01	f1ebe1ac581687ba724b13f76aabc07e9fe59104	a81b1e0c738538c8ee6d9b4774fea83d0eadddc4	2026-07-14T04:15:21-04:00	2026-07-14T04:15:21-04:00	ntoledo319	Allow manual quality gate dispatch		-
REPO-01	3439776bf7f87585303cdcdc7c004e079cd2b6ad	225d693d83f9acf4a0a9990a8215bfb0c4542f52	2026-07-14T04:39:11-04:00	2026-07-14T04:39:11-04:00	ntoledo319	Make Windows release capture deterministic		-
REPO-01	7eacaa5b3ad758023b7dba22521a7e69fe6e9027	f1ebe1ac581687ba724b13f76aabc07e9fe59104	2026-07-14T04:40:28-04:00	2026-07-14T04:40:28-04:00	ntoledo319	Make Windows release capture deterministic		-
REPO-01	30a65b555411df5fc08c75f197f8b27db7198bad	3439776bf7f87585303cdcdc7c004e079cd2b6ad	2026-07-14T04:48:24-04:00	2026-07-14T04:48:24-04:00	ntoledo319	Rebuild native modules for release capture		-
REPO-01	b9858d7e568c9bc147d4c7dda2e2193d8964c6f7	7eacaa5b3ad758023b7dba22521a7e69fe6e9027	2026-07-14T04:48:59-04:00	2026-07-14T04:48:59-04:00	ntoledo319	Rebuild native modules for release capture		-
REPO-01	76bef26156d599ae63a24409fa6ae18a3a83c959	30a65b555411df5fc08c75f197f8b27db7198bad	2026-07-14T04:52:46-04:00	2026-07-14T04:52:46-04:00	ntoledo319	Run Node tests before Electron native rebuild		-
REPO-01	e248c0523a5bfab0da0f6e013af61841bdb9c259	b9858d7e568c9bc147d4c7dda2e2193d8964c6f7	2026-07-14T04:53:33-04:00	2026-07-14T04:53:33-04:00	ntoledo319	Run Node tests before Electron native rebuild		-
REPO-01	bfdb50b5840c5570cd0daae06f54c579d030b0c6	76bef26156d599ae63a24409fa6ae18a3a83c959	2026-07-14T05:02:34-04:00	2026-07-14T05:02:34-04:00	ntoledo319	Capture Store frames on an exact hidden surface		-
REPO-01	ba40184e3da921468efa9d4c26ef7e4241565327	e248c0523a5bfab0da0f6e013af61841bdb9c259	2026-07-14T05:02:55-04:00	2026-07-14T05:02:55-04:00	ntoledo319	Capture Store frames on an exact hidden surface		-
REPO-01	8a1d0de66ce20c9f8eacb229819e505b9019087f	bfdb50b5840c5570cd0daae06f54c579d030b0c6	2026-07-14T05:10:44-04:00	2026-07-14T05:10:44-04:00	ntoledo319	Capture exact Store frames through Chromium		-
REPO-01	a4a051d88297ce975dea946d7b7f73e35854d9ac	ba40184e3da921468efa9d4c26ef7e4241565327	2026-07-14T05:11:13-04:00	2026-07-14T05:11:13-04:00	ntoledo319	Capture exact Store frames through Chromium		-
REPO-01	a589f3a18474aa5c33c9035f6173cfa4050bba93	8a1d0de66ce20c9f8eacb229819e505b9019087f	2026-07-14T05:17:03-04:00	2026-07-14T05:17:03-04:00	Codex	Render Store screenshots offscreen on Windows		-
REPO-01	bd78a572c1d55e0f32d77a4379206d842a2af0b5	a4a051d88297ce975dea946d7b7f73e35854d9ac	2026-07-14T05:17:27-04:00	2026-07-14T05:17:27-04:00	ntoledo319	Render Store screenshots offscreen on Windows		-
REPO-01	dde416d350b96ec01f0fe0a1200f491d8b025f88	a589f3a18474aa5c33c9035f6173cfa4050bba93	2026-07-14T05:27:15-04:00	2026-07-14T05:27:15-04:00	Codex	Guarantee an exact Windows screenshot viewport		-
REPO-01	9225294a9c85625315b607a24e42a959e37681ca	bd78a572c1d55e0f32d77a4379206d842a2af0b5	2026-07-14T05:27:28-04:00	2026-07-14T05:27:28-04:00	ntoledo319	Guarantee an exact Windows screenshot viewport		-
REPO-01	0d7b29ee48f27ba0d963c5867c339bcde74817ea	dde416d350b96ec01f0fe0a1200f491d8b025f88	2026-07-14T05:32:27-04:00	2026-07-14T05:32:27-04:00	Codex	Validate AppX with supported MakeAppx syntax		-
REPO-01	42f69bcbd347a0242a30bbb58f5cd1dc2d3998fe	9225294a9c85625315b607a24e42a959e37681ca	2026-07-14T05:32:45-04:00	2026-07-14T05:32:45-04:00	ntoledo319	Validate AppX with supported MakeAppx syntax		-
REPO-01	22275ec2adcdf948f0dcdc90cb0ef799ed2556fa	0d7b29ee48f27ba0d963c5867c339bcde74817ea	2026-07-14T05:37:32-04:00	2026-07-14T05:37:32-04:00	Codex	Validate disclosures beside the packaged executable	feature/monetization	-
